Time,Metric,Symbol,Value
2009-01-18,transactions_sum,btc,426.0
2009-01-18,transfers_mean,btc,150.0
2009-01-18,transfers_sum,btc,150.0
2009-01-19,active_addresses,btc,18.0
2009-01-19,addresses,btc,1098.0
2009-01-19,non_zero_addresses,btc,116.0
2009-01-19,supply,btc,54000.0
2009-01-19,transactions_count,btc,2.0
2009-01-19,transactions_mean,btc,973.0
2009-01-19,transactions_rate,btc,2.3148148148e-05
2009-01-19,transactions_sum,btc,1946.0
2009-01-19,transfers_mean,btc,387.5
2009-01-19,transfers_sum,btc,775.0
2009-01-20,active_addresses,btc,9.0
2009-01-20,addresses,btc,1213.0
2009-01-20,non_zero_addresses,btc,115.0
2009-01-20,supply,btc,59700.0
2009-01-20,transactions_count,btc,1.0
2009-01-20,transactions_mean,btc,997.0
2009-01-20,transactions_rate,btc,1.1574074074e-05
2009-01-20,transactions_sum,btc,997.0
2009-01-20,transfers_mean,btc,400.0
2009-01-20,transfers_sum,btc,400.0
2009-01-21,active_addresses,btc,3.0
2009-01-21,addresses,btc,1316.0
2009-01-21,non_zero_addresses,btc,103.0
2009-01-21,supply,btc,64800.0
2009-01-21,transactions_count,btc,1.0
2009-01-21,transactions_mean,btc,312.0
2009-01-21,transactions_rate,btc,1.1574074074e-05
2009-01-21,transactions_sum,btc,312.0
2009-01-21,transfers_mean,btc,100.0
2009-01-21,transfers_sum,btc,100.0
2009-01-22,active_addresses,btc,11.0
2009-01-22,addresses,btc,1407.0
2009-01-22,non_zero_addresses,btc,91.0
2009-01-22,supply,btc,69350.0
2009-01-22,transactions_count,btc,1.0
2009-01-22,transactions_mean,btc,1185.0
2009-01-22,transactions_rate,btc,1.1574074074e-05
2009-01-22,transactions_sum,btc,1185.0
2009-01-22,transfers_mean,btc,500.0
2009-01-22,transfers_sum,btc,500.0
2009-01-23,active_addresses,btc,11.0
2009-01-23,addresses,btc,1492.0
2009-01-23,non_zero_addresses,btc,85.0
2009-01-23,supply,btc,73550.0
2009-01-23,transactions_count,btc,2.0
2009-01-23,transactions_mean,btc,577.5
2009-01-23,transactions_rate,btc,2.3148148148e-05
2009-01-23,transactions_sum,btc,1155.0
2009-01-23,transfers_mean,btc,225.0
2009-01-23,transfers_sum,btc,450.0
2009-01-24,active_addresses,btc,11.0
2009-01-24,addresses,btc,1694.0
2009-01-24,non_zero_addresses,btc,202.0
2009-01-24,supply,btc,83600.0
2009-01-24,transactions_count,btc,1.0
2009-01-24,transactions_mean,btc,1227.0
2009-01-24,transactions_rate,btc,1.1574074074e-05
2009-01-24,transactions_sum,btc,1227.0
2009-01-24,transfers_mean,btc,500.0
2009-01-24,transfers_sum,btc,500.0
2009-01-25,active_addresses,btc,2.0
2009-01-25,addresses,btc,1886.0
2009-01-25,non_zero_addresses,btc,192.0
2009-01-25,supply,btc,93150.0
2009-01-25,transactions_count,btc,1.0
2009-01-25,transactions_mean,btc,200.0
2009-01-25,transactions_rate,btc,1.1574074074e-05
2009-01-25,transactions_sum,btc,200.0
2009-01-25,transfers_mean,btc,50.0
2009-01-25,transfers_sum,btc,50.0
2009-01-26,active_addresses,btc,21.0
2009-01-26,addresses,btc,1982.0
2009-01-26,non_zero_addresses,btc,96.0
2009-01-26,supply,btc,97950.0
2009-01-26,transactions_count,btc,1.0
2009-01-26,transactions_mean,btc,2324.0
2009-01-26,transactions_rate,btc,1.1574074074e-05
2009-01-26,transactions_sum,btc,2324.0
2009-01-26,transfers_mean,btc,1000.0
2009-01-26,transfers_sum,btc,1000.0
2009-01-27,active_addresses,btc,4.0
2009-01-27,addresses,btc,2080.0
2009-01-27,non_zero_addresses,btc,98.0
2009-01-27,supply,btc,102800.0
2009-01-27,transactions_count,btc,1.0
2009-01-27,transactions_mean,btc,426.0
2009-01-27,transactions_rate,btc,1.1574074074e-05
2009-01-27,transactions_sum,btc,426.0
2009-01-27,transfers_mean,btc,150.0
2009-01-27,transfers_sum,btc,150.0
2009-01-28,active_addresses,btc,0.0
2009-01-28,addresses,btc,2192.0
2009-01-28,non_zero_addresses,btc,112.0
2009-01-28,supply,btc,108400.0
2009-01-28,transactions_count,btc,0.0
2009-01-28,transactions_rate,btc,0.0
2009-01-28,transfers_mean,btc,0.0
2009-01-28,transfers_sum,btc,0.0
2009-01-29,active_addresses,btc,13.0
2009-01-29,addresses,btc,2313.0
2009-01-29,non_zero_addresses,btc,121.0
2009-01-29,supply,btc,114450.0
2009-01-29,transactions_count,btc,1.0
2009-01-29,transactions_mean,btc,1417.0
2009-01-29,transactions_rate,btc,1.1574074074e-05
2009-01-29,transactions_sum,btc,1417.0
2009-01-29,transfers_mean,btc,600.0
2009-01-29,transfers_sum,btc,600.0
2009-01-30,active_addresses,btc,0.0
2009-01-30,addresses,btc,2430.0
2009-01-30,non_zero_addresses,btc,117.0
2009-01-30,supply,btc,120300.0
2009-01-30,transactions_count,btc,0.0
2009-01-30,transactions_rate,btc,0.0
2009-01-30,transfers_mean,btc,0.0
2009-01-30,transfers_sum,btc,0.0
2009-01-31,active_addresses,btc,21.0
2009-01-31,addresses,btc,2569.0
2009-01-31,non_zero_addresses,btc,139.0
2009-01-31,supply,btc,127200.0
2009-01-31,transactions_count,btc,1.0
2009-01-31,transactions_mean,btc,2326.0
2009-01-31,transactions_rate,btc,1.1574074074e-05
2009-01-31,transactions_sum,btc,2326.0
2009-01-31,transfers_mean,btc,1000.0
2009-01-31,transfers_sum,btc,1000.0
2009-02-01,active_addresses,btc,3.0
2009-02-01,addresses,btc,2683.0
2009-02-01,non_zero_addresses,btc,114.0
2009-02-01,supply,btc,132850.0
